tubelr,noselr,taillr,drag,cd_front
5,1,15,1557.048,0.082603962
5,2,1,1788.143,0.094863932
5,2,2,1161.068,0.06159657
5,2,3,1034.13,0.0548623
5,2,4,946.827,0.050230732
5,2,5,949.72,0.050384211
5,2,6,970.72,0.051498295
5,2,8,1036.778,0.055002781
5,2,10,1089.987,0.057825606
5,2,15,1307.506,0.069365348
5,3,1,1888.519,0.100189045
5,3,2,1328.993,0.070505268
5,3,3,1075.567,0.057060602
5,3,4,1028.461,0.054561551
5,3,5,1005.752,0.053356801
5,3,6,1023.171,0.054280907
5,3,8,1112.382,0.059013698
5,3,10,1165.087,0.061809785
5,3,15,1388.393,0.073656536
5,5,1,2164.614,0.114836339
5,5,2,1531.067,0.081225627
5,5,3,1222.183,0.064838822
5,5,4,1137.749,0.060359459
5,5,5,1194.024,0.063344941
5,5,6,1195.987,0.063449081
5,5,8,1241.198,0.065847599
5,5,10,1329.098,0.070510839
5,5,15,1522.546,0.080773574
10,1,1,2574.053,0.136557753
10,1,2,1856.29,0.098479243
10,1,3,1579.383,0.08378887
10,1,4,1488.625,0.078974009
10,1,5,1548.464,0.082148567
10,1,6,1552.098,0.082341356
10,1,8,1637.829,0.086889527
10,1,10,1694.605,0.089901587
10,1,15,1927.926,0.102279651
10,2,1,2553.915,0.135489399
10,2,2,1732.495,0.091911714
10,2,3,1403.615,0.074464088
10,2,4,1343.743,0.07128778
10,2,5,1264.998,0.067110228
10,2,6,1317.244,0.069881965
10,2,8,1400.165,0.07428106
10,2,10,1450.112,0.076930831
10,2,15,1662.582,0.088202715
10,3,1,2539.403,0.134719513
10,3,2,1828.237,0.096990985
10,3,3,1478.233,0.078422696
10,3,4,1345.505,0.071381257
10,3,5,1342.065,0.07119876
10,3,6,1391.456,0.073819033
10,3,8,1454.841,0.077181712
10,3,10,1528.788,0.081104722
10,3,15,1754.559,0.093082246
10,5,1,2581.016,0.136927152
10,5,2,1974.068,0.10472756
10,5,3,1622.004,0.086049985
10,5,4,1524.516,0.080878086
10,5,5,1547.127,0.082077637
10,5,6,1535.669,0.081469771
10,5,8,1598.099,0.084781785
10,5,10,1660.352,0.088084409
10,5,15,1871.798,0.099301968
20,1,1,3373.827,0.178987081
20,1,2,2810.082,0.14907948
20,1,3,2403.816,0.1275264
20,1,4,2340.528,0.124168867
20,1,5,2306.57,0.122367339
20,1,6,2281.424,0.121033302
20,1,8,2355.985,0.124988886
20,1,10,2411.924,0.127956542
20,1,15,2632.213,0.139643237
20,2,1,3122.014,0.165627987
20,2,2,2585.664,0.137173736
20,2,3,2166.146,0.114917614
20,2,4,1975.77,0.104817854
20,2,5,2068.303,0.109726882
20,2,6,2043.235,0.108396983
20,2,8,2082.744,0.110493001
20,2,10,2151.441,0.11413749
20,2,15,2353.945,0.124880661
20,3,1,3167.898,0.168062209
20,3,2,2639.043,0.140005579
20,3,3,2253.647,0.119559687
20,3,4,2058.463,0.109204854
20,3,5,2154.367,0.114292719
20,3,6,2086.292,0.110681228
20,3,8,2140.522,0.113558219
20,3,10,2200.414,0.116735588
20,3,15,2405.294,0.12760481
20,5,1,3422.578,0.181573402
20,5,2,2793.204,0.148184075
20,5,3,2394.765,0.127046229
20,5,4,2233.341,0.11848242
20,5,5,2157.161,0.114440945
20,5,6,2245.555,0.119130393
20,5,8,2287.977,0.12138095
20,5,10,2343.273,0.124314494
20,5,15,2545.617,0.135049176
